college_id,college_name,state,district,college_type,peer_group,is_college,campus_area_acres,greenery_score,classroom_score,labs_score,library_score,internet_score,hostel_score,sports_score,faculty_score,practical_score,mentoring_score,placements_score,research_score,values_score,nirf_score,naac_cgpa,nba_score,overall_base_score
NEW001,New College Input 1,Telangana,Hyderabad,Engineering,Engineering,True,12.1,55.36086161558463,57.45700035820735,51.63510678323257,48.993764876889514,55.03519167710041,53.88057441678952,56.054142489978986,43.15947754699116,47.63630683575255,51.288333742823625,31.689500394861618,42.7095732196029,42.560713861024084,45.87232715712372,2.72,40.57690449659583,47.79733409585827
NEW002,New College Input 2,Andhra Pradesh,Guntur,Degree,Degree,True,29.6,57.454096365170436,47.97919959296539,46.59091689034266,48.12511238475388,46.157943412308775,49.93204119683494,42.95863910455143,36.10985281968811,35.79121663549841,34.22408911373877,49.37473021491867,56.75931889264268,50.412797918633295,48.076288436467834,3.07,46.83587706543878,49.69668551650151
NEW003,New College Input 3,Karnataka,Mangaluru,Autonomous,Autonomous,True,22.92,66.32455902767768,61.45644066690864,63.89901119021034,69.06668978914702,67.19809378479371,61.70251398987541,75.39890959341943,51.57643082687606,31.25576771063852,41.539517385902364,74.70686785175533,56.20158264035388,62.16540819571062,57.5927744821841,3.06,53.947397238944006,54.810521055364916
NEW004,New College Input 4,Tamil Nadu,Salem,University,University,True,7.68,71.7437997753964,59.04384572901508,58.57824043918997,55.59195245552872,53.45496626471407,58.169738664255284,66.80732473191443,53.13282744312398,67.56298947992022,62.642988526921386,61.14795275773267,54.289948575168964,45.222146460353585,57.423670551383495,3.01,61.3358143557292,56.512676518849304
NEW005,New College Input 5,Kerala,Kollam,Arts,Arts,True,31.5,79.49847568698877,70.09861458218352,60.62451537419566,69.78779737012539,61.63040610771332,60.04296919966757,56.02672431861557,80.81110085477972,75.95786441744036,73.8961701470381,77.8303668267825,81.05762198583723,74.98188727171015,72.68878767749533,3.58,78.14316753122917,73.24995773560532
NEW006,New College Input 6,Maharashtra,Pune,Management,Management,True,21.29,78.70922538115116,75.08650705463829,69.40384749080934,75.84542197661658,72.09225841701212,70.52632210781813,34.91695738309684,60.76104558352867,71.65990964154474,74.20043582021432,61.576186009784074,68.28364701882151,57.430540890424055,64.36849687407596,3.37,67.11772758361154,64.06139776812039
NEW007,New College Input 7,Telangana,Warangal,Engineering,Engineering,True,29.33,81.28951203738855,68.31192104259425,80.65418907283525,65.77265030420703,65.8549914813373,70.8465867731278,50.73689567804132,86.55692557288074,62.578588750021545,78.58279094109551,98.00552501423033,69.4441440742679,58.332644477275856,78.85297254598964,3.72,77.03768303976852,75.99390079618199
NEW008,New College Input 8,Andhra Pradesh,Krishna,Degree,Degree,True,27.9,48.80235380045183,77.13158580970867,75.07256541636805,77.32869450351319,80.96378241121565,81.80813118064938,45.100937842311076,87.20388058786656,78.02012719257922,75.73778065376757,85.51201095013136,62.953532349804505,68.38279357459739,76.70181922577956,3.42,76.12230805489004,77.1166978951511
NEW009,New College Input 9,Karnataka,Belagavi,Autonomous,Autonomous,True,25.31,55.56946683018728,98.10262723761998,100.0,94.42205386116139,100.0,92.84191890091685,49.98066208311978,83.65043797944277,74.89769226170851,85.31294331781312,91.2249767800964,62.96753972093056,64.24942191408051,80.32381074118481,3.68,77.03319608091088,77.7244669487713
NEW010,New College Input 10,Tamil Nadu,Tiruchirappalli,University,University,True,9.39,70.16060493240039,43.774580013579175,42.02562591906708,50.998256242736346,51.52046708671409,39.054389369768224,53.91574794207219,50.978567788037196,40.25031182222202,47.027496592025976,43.022894954284915,33.77089048559651,65.48470444256616,44.874733323647746,2.82,39.276889517456375,46.762774887273544
NEW011,New College Input 11,Kerala,Kochi,Arts,Arts,True,34.38,71.40882619715235,60.900059623869794,71.86978418697994,65.81605168416674,58.95740374534339,61.19915141343059,64.55348704638406,55.89920478851081,58.024648513949074,61.0187097917144,73.53873308272914,51.43735507111154,68.3321407759089,63.99798457757825,3.34,61.47839008017084,64.53379015104107
NEW012,New College Input 12,Maharashtra,Mumbai,Management,Management,True,15.83,74.27166894533372,50.78056714336936,35.7443692534047,48.61007084138051,48.758005393085575,38.08605941561631,41.56341083094464,58.659783351209285,47.856628843565595,51.11441518573561,49.7718791853476,43.809571564561175,68.01781390545166,51.27954947087676,3.05,47.31284927948797,51.78373738489826
