college_id,college_name,state,district,college_type,peer_group,is_college,campus_area_acres,greenery_score,classroom_score,labs_score,library_score,internet_score,hostel_score,sports_score,faculty_score,practical_score,mentoring_score,placements_score,research_score,values_score,nirf_score,naac_cgpa,nba_score,overall_base_score,class_size,attention_score,teaching_pace,doubt_solving_rate,teacher_responsiveness,lecture_prac_ratio,freedom_vs_pressure,mental_health,anti_ragging,complaint_time,hostel_quality,canteen_hygiene,disabled_accessibility,first_gen_inclusion,syllabus_update,industry_projects,interdisciplinary,peer_learning,research_papers,innovation_hackathons,placement_rate,internship_rate,startup_creation,higher_studies,alumni_success,salary_dist,dropout_rate,pass_rate_trend,data_completeness,audit_confidence,response_consistency,anomaly_flags,evidence_verification,bias_detection
TS001,Jawaharlal Nehru Technological University (JNTUH),Telangana,Hyderabad,University,Engineering,True,89.0,85.0,81.15381358767789,84.63900487849315,83.74359643598275,77.86828411585546,84.30635365250038,84.68022322815133,78.23183562139589,83.32050206568104,88.5251160622357,93.38297399122848,84.30409074565206,62.85793907098978,75.0,3.52,82.0,78.69315161180108,64.90606902455889,86.25430451929597,75.80566386654978,86.13981715475167,83.45305231699012,59.275876611694564,65.13306003276786,61.81651585198803,91.3585670668534,82.93026421826094,84.30635365250038,82.78787921412408,73.29965045365685,83.2250834465753,88.16363528386233,83.39225065388956,79.63000808476076,85.2360094243428,97.32337024710338,77.88176119150054,93.38297399122848,88.38297399122848,27.942954133515048,11.00171288851178,79.81198111662002,82.70245815270836,3.8473232416135588,84.00495300344369,95.89628428925342,83.49362110790607,95.47821659991556,0.8550174161807517,81.71545634256105,84.67517086626381
TS002,Osmania University College of Engineering (OUCE),Telangana,Hyderabad,University,Engineering,True,120.0,88.0,83.43184156706823,83.88698492617131,85.41135106671051,87.34098921778815,81.11755900294837,86.48364665372313,81.65462931080002,82.5572678273419,88.07659000786722,89.2247103127231,84.73179063049946,71.68512609235313,78.0,3.58,85.0,81.20188010637703,60.46203275814953,87.48205945411385,77.48087008818227,88.64491202076259,83.59688833621605,73.86992729908837,71.82768545385856,84.05900954052639,91.12835156333952,85.23503353742088,81.11755900294837,78.32124004874841,91.61080670675861,94.2264719745382,82.87561477562976,85.35497357712474,79.32276841391642,84.04792039375226,94.44449478118673,81.63514491136267,89.2247103127231,84.2247103127231,26.577758579900916,7.062535881343494,80.96955310183101,74.74960064227992,3.131804699211929,88.99848610918654,94.26664241269896,80.33296826803905,90.6999989932892,2.1992665029582223,91.19738772221416,89.15391285663017
TS003,Chaitanya Bharathi Institute of Technology (CBIT),Telangana,Ranga Reddy,Autonomous,Engineering,True,50.0,80.0,74.26496361175921,86.57093720775052,73.85272514686505,73.53722864808293,79.50422481819098,90.98539950898584,79.94512910834851,83.25143168072957,80.07014760669223,76.86800772942404,74.05916991056372,62.72854168011234,68.0,3.25,78.0,76.17028965822277,47.212900322231285,81.00874459659873,61.01457614329631,81.27821602689345,73.7927089911156,62.963830201167546,66.0905394482963,85.25292426920515,91.29487558231627,85.1789144649707,79.50422481819098,73.22176641787404,81.44914672195334,75.0945642094186,77.75918427176674,78.68947888627686,72.64485067587717,76.13798856461722,59.864826763473474,68.30125942146302,76.86800772942404,71.86800772942404,23.164293942822958,18.137469483359222,72.60600587194686,71.79126292248017,4.2908985712329155,71.81751975075873,95.64209201832968,84.56926858600198,89.98757838934384,1.1885718768548865,80.07576128040203,85.14531819144483
TS004,Vasavi College of Engineering (VCE),Telangana,Hyderabad,Autonomous,Engineering,True,32.0,76.0,78.68382140875002,78.54783851651446,82.52615886996773,82.83775207995568,74.07412095769767,80.03111869195412,78.5861427478164,81.44725177841993,73.57360059624355,73.2875769609922,70.67565986798527,64.21156934193195,65.0,3.21,76.0,75.97819729479666,53.561759860274975,81.17355321045002,68.6485667494021,79.78557842004075,73.10278635983096,55.38357797079055,74.69806129395872,77.75961966541442,87.10170468724837,78.80831193189776,74.07412095769767,86.99423926741166,79.8592165659549,76.53406526928778,77.47871283191353,79.46088553763417,75.0929897158567,79.87458119729399,58.5655320306316,74.18684762457025,73.2875769609922,68.2875769609922,25.551994288785508,14.173660149887816,75.73524290056,77.93791848354138,2.5610148554142054,79.44706728262263,94.8015765295479,82.59641282119301,86.37519909569824,2.175438754244216,81.50292119044943,92.59745100953945
TS005,VNR Vignana Jyothi Institute of Engineering and Tech (VNRVJIET),Telangana,Hyderabad,Autonomous,Engineering,True,22.0,78.0,76.90295066256455,81.62351574172872,82.51095086257216,86.30759385206878,82.64232060862331,83.44193956995316,78.76141573932885,78.71637201662192,79.9564916466834,86.04967792490284,81.01974223976406,57.40058808564926,70.0,3.4,80.0,75.51308662031259,52.14322971732497,87.02253775803078,70.63372038243311,76.33196434758806,90.42328472639261,59.710582676852354,73.07467167450726,79.19619804836108,88.52961813535926,77.36213159089303,82.64232060862331,89.6083749253297,91.02564695694201,84.10968600554338,82.72886757515464,76.98341304819158,86.66518115044164,79.627469367953,78.83286798150645,73.80305047267716,86.04967792490284,81.04967792490284,20.877423448057442,16.591456013265574,77.76360293122036,70.06499457221636,3.0406095029470754,85.60040385525394,97.77912051716012,82.97072845893732,88.02653592009084,2.767570924934769,87.48851207933963,88.9693928435229
TS006,Gokaraju Rangaraju Institute of Engineering and Tech (GRIET),Telangana,Hyderabad,Autonomous,Engineering,True,24.0,75.0,67.01735899649853,74.46587366020569,70.200323347932,70.78763528574994,77.27038799462674,77.83205741026845,74.70522857372445,67.91518064643255,81.34758067931605,70.04059344529063,80.17136488576318,76.12926319588891,60.0,3.12,72.0,72.50366831658677,65.7733274178468,68.72507609545809,71.21271875855618,72.11631435742056,73.11615828602116,57.5012774091444,53.691115947420734,76.9742732078767,89.67557137380255,70.57599800248882,77.27038799462674,68.19836383585115,77.86767661093414,75.53121830852764,66.23447332457786,76.03564901604138,74.11461798774093,74.20147270128948,56.52097124809991,74.44467770444642,70.04059344529063,65.04059344529063,19.939736228392565,9.863847016561703,69.99720825398336,79.06363442534933,2.1373890495630827,72.7606679411177,98.90938503082249,77.40984998875486,89.01698353142447,0.8276575077251508,72.61451332945289,83.44078067994855
TS007,Mahatma Gandhi Institute of Technology (MGIT),Telangana,Ranga Reddy,Autonomous,Engineering,True,30.0,74.0,70.95188032040421,70.74025343697141,78.28000327619411,66.9149567462896,70.78759906181048,68.49868557854721,76.35686224586392,76.54730531519681,69.28660048463543,76.56297496715614,70.54617432765933,66.90025142815156,58.0,3.08,70.0,73.03338181771765,67.58164217228173,72.94652695552205,71.72558971108762,71.83232115503068,72.7242179703986,62.29387661492459,70.47274666420014,60.87187267209949,96.77506496304997,65.74790028325727,70.78759906181048,71.13818109439873,70.43807406158854,88.7977363472465,68.28955238832847,68.32368369119834,63.18109162042905,74.29386020380244,52.26949340431358,69.60735752621117,76.56297496715614,71.56297496715614,17.209569198103814,16.20210677064045,68.99914056497495,63.07165953640888,3.5856094029740584,68.4616655080753,96.59388738005643,71.19583670404879,92.80471413368628,1.5182256726906669,68.9678085165039,87.24875234336908
TS008,Anurag University,Telangana,Medchal,University,Engineering,True,55.0,82.0,80.63558867044524,63.75061202597591,70.99178596355424,87.65644354579776,75.54529244094982,69.36409030396467,73.87424605347569,76.26981826427145,78.38450098362242,86.19751001411282,74.33131008767529,66.76127018192224,62.0,3.15,74.0,74.82702085396546,67.87084442098204,70.5087365156857,61.73330003208777,67.96036451217422,67.7394864219984,51.03554843875728,60.577681858393035,71.50589221899774,85.20239269670385,58.28166848987628,75.54529244094982,66.78044112705267,72.22512281822864,76.97275256064017,78.55857403792756,71.93228720355425,77.28554077919519,75.92406960127656,68.576952743274,70.82309855575981,86.19751001411282,81.19751001411282,24.490318711924367,11.174519365512916,74.68009725701828,73.58250220425788,1.5553720668084,79.95947169850298,95.85368096004285,75.20774906343101,88.43647914110593,0.02200460951775285,72.52963625094691,90.2114886870635
TS009,Nizam College,Telangana,Hyderabad,Degree,Arts,True,25.0,84.0,70.7166870984035,82.42989230185883,70.90337422855607,78.03180575315359,75.23403887115174,74.20806021896712,67.03241268510797,76.23901444327294,65.00755863340781,81.00437561838547,69.20003184930953,54.09865871621094,55.0,3.1,50.0,68.455997786604,56.594939049681614,73.2697391046147,68.10380901568186,73.8600232439743,66.59990332915082,46.94017627212393,69.42843677561916,65.25252533831932,88.60646259575071,76.13645573321097,75.23403887115174,63.74896312430471,74.5053248586588,80.33984985581813,65.32985214359175,64.40484908165743,68.0714660974918,79.92479999474786,70.79269811898811,62.37182587427684,81.00437561838547,76.00437561838547,14.00186913797532,18.665267965021897,69.6151460682872,77.84759581706221,1.6192820792885585,76.75106248929264,96.69234692605572,71.21014544717407,86.7217432893068,1.9483559299143283,73.63476734942947,91.62802903968098
TS010,St. Francis College for Women,Telangana,Hyderabad,Degree,Arts,True,8.0,72.0,80.96238618477228,80.14024367299994,73.1137686097852,73.43502625401628,73.43093235842899,73.34755725593787,77.50139357495536,79.42763539686281,72.64676882778123,84.98408354548062,74.61386200285317,59.625573119546495,60.0,3.25,52.0,75.56064974826896,59.486571416550305,77.40603227961452,77.78233889148592,75.65009438749354,79.31175306978884,61.87141986770216,59.479563127699365,59.67866581213989,94.4902394805974,81.97992089190885,73.43093235842899,75.61454615202362,89.96565376944022,85.28304924520803,78.05088618843916,72.44344255633165,84.38857250619407,80.14520572883309,67.14161225388378,73.65864997347352,84.98408354548062,79.98408354548062,26.103684677874902,6.644704575807726,78.79869310141144,71.27857511183583,2.8706081088242867,72.3918983132092,94.47116257455059,75.97236050893974,87.5163117064576,3.117875738513422,83.54023850819456,91.06343686498637
